PRINCIPLE COMMODITY,COUNTRY,UNIT,QUANTITY,VALUE(US$ MILLION)
NIGER SEEDS                                       ,ITALY,TONS,0.0,0.0
NIGER SEEDS                                       ,JAPAN,TONS,24.0,0.03
NIGER SEEDS                                       ,SOUTH KOREA,TONS,0.0,0.0
NIGER SEEDS                                       ,RUSSIA,TONS,25.0,0.03
NIGER SEEDS                                       ,UK,TONS,254.0,0.31
NIGER SEEDS                                       ,USA,TONS,5924.725,8.02
OTHER OIL SEEDS                                   ,CANADA,TONS,28498.0,28.22
OTHER OIL SEEDS                                   ,CHINA,TONS,1.0,0.0
OTHER OIL SEEDS                                   ,FRANCE,TONS,32.0,0.04
OTHER OIL SEEDS                                   ,GERMANY,TONS,2919.0,4.76
OTHER OIL SEEDS                                   ,ITALY,TONS,56.0,0.08
OTHER OIL SEEDS                                   ,JAPAN,TONS,141.0,0.14
OTHER OIL SEEDS                                   ,SOUTH KOREA,TONS,78.0,0.08
OTHER OIL SEEDS                                   ,RUSSIA,TONS,327.0,1.03
OTHER OIL SEEDS                                   ,UK,TONS,313.0,0.48
OTHER OIL SEEDS                                   ,USA,TONS,6559.0,10.6
SESAME SEEDS                                      ,BRAZIL,TONS,427.239,0.83
SESAME SEEDS                                      ,CANADA,TONS,5975.828,12.74
SESAME SEEDS                                      ,CHINA,TONS,14505.931,23.62
SESAME SEEDS                                      ,FRANCE,TONS,1412.15,2.97
SESAME SEEDS                                      ,GERMANY,TONS,2965.04,6.01
SESAME SEEDS                                      ,ITALY,TONS,810.73,1.63
SESAME SEEDS                                      ,JAPAN,TONS,3.27,0.02
SESAME SEEDS                                      ,SOUTH KOREA,TONS,37926.77,64.3
SESAME SEEDS                                      ,RUSSIA,TONS,15817.483,30.86
SESAME SEEDS                                      ,UK,TONS,2514.81,5.41
SESAME SEEDS                                      ,USA,TONS,16232.63,35.42
FRESH FRUITS                                      ,BRAZIL,TONS,3000.0,2.83
FRESH FRUITS                                      ,CANADA,TONS,1883.0,5.01
FRESH FRUITS                                      ,CHINA,TONS,3202.0,6.37
FRESH FRUITS                                      ,FRANCE,TONS,544.0,1.35
FRESH FRUITS                                      ,GERMANY,TONS,10358.0,15.69
FRESH FRUITS                                      ,ITALY,TONS,604.0,0.82
FRESH FRUITS                                      ,JAPAN,TONS,123.0,0.39
FRESH FRUITS                                      ,SOUTH KOREA,TONS,11.0,0.05
FRESH FRUITS                                      ,RUSSIA,TONS,12828.0,18.54
FRESH FRUITS                                      ,UK,TONS,21387.0,38.84
FRESH FRUITS                                      ,USA,TONS,6171.0,21.86
FRESH VEGETABLES                                  ,BRAZIL,TONS,0.0,0.0
FRESH VEGETABLES                                  ,CANADA,TONS,6401.0,10.15
FRESH VEGETABLES                                  ,CHINA,TONS,203.0,0.08
FRESH VEGETABLES                                  ,FRANCE,TONS,1050.0,1.51
FRESH VEGETABLES                                  ,GERMANY,TONS,2344.0,2.61
FRESH VEGETABLES                                  ,ITALY,TONS,3213.0,1.45
FRESH VEGETABLES                                  ,JAPAN,TONS,1469.0,1.66
FRESH VEGETABLES                                  ,SOUTH KOREA,TONS,55.0,0.03
FRESH VEGETABLES                                  ,RUSSIA,TONS,9201.0,10.72
FRESH VEGETABLES                                  ,UK,TONS,20086.0,29.45
FRESH VEGETABLES                                  ,USA,TONS,9420.0,16.76
PROCESSED FRUITS AND JUICES                       ,BRAZIL,TONS,293.563,0.35
PROCESSED FRUITS AND JUICES                       ,CANADA,TONS,20618.373,29.36
PROCESSED FRUITS AND JUICES                       ,CHINA,TONS,8339.462,12.12
PROCESSED FRUITS AND JUICES                       ,FRANCE,TONS,17896.718,29.53
PROCESSED FRUITS AND JUICES                       ,GERMANY,TONS,23605.231,31.16
PROCESSED FRUITS AND JUICES                       ,ITALY,TONS,3927.2,6.01
PROCESSED FRUITS AND JUICES                       ,JAPAN,TONS,7147.803,13.37
PROCESSED FRUITS AND JUICES                       ,SOUTH KOREA,TONS,3343.719,5.2
PROCESSED FRUITS AND JUICES                       ,RUSSIA,TONS,20101.134,32.51
PROCESSED FRUITS AND JUICES                       ,UK,TONS,38437.29,54.51
PROCESSED FRUITS AND JUICES                       ,USA,TONS,78887.725,131.99
PROCESSED VEGETABLES                              ,BRAZIL,TONS,11811.837,18.91
PROCESSED VEGETABLES                              ,CANADA,TONS,5438.034,13.13
PROCESSED VEGETABLES                              ,CHINA,TONS,2200.966,1.26
PROCESSED VEGETABLES                              ,FRANCE,TONS,13982.149,16.96
PROCESSED VEGETABLES                              ,GERMANY,TONS,12162.86,26.85
PROCESSED VEGETABLES                              ,ITALY,TONS,4210.97,4.36
PROCESSED VEGETABLES                              ,JAPAN,TONS,2693.052,2.18
PROCESSED VEGETABLES                              ,SOUTH KOREA,TONS,3112.722,2.4
PROCESSED VEGETABLES                              ,RUSSIA,TONS,26880.531,25.6
PROCESSED VEGETABLES                              ,UK,TONS,14365.701,29.4
PROCESSED VEGETABLES                              ,USA,TONS,47757.657,89.24
CEREAL PREPARATIONS                               ,BRAZIL,TONS,77.0,0.33
CEREAL PREPARATIONS                               ,CANADA,TONS,16389.0,34.72
CEREAL PREPARATIONS                               ,CHINA,TONS,1266.0,1.86
CEREAL PREPARATIONS                               ,FRANCE,TONS,269.0,0.69
CEREAL PREPARATIONS                               ,GERMANY,TONS,1057.0,2.77
CEREAL PREPARATIONS                               ,ITALY,TONS,832.0,1.74
CEREAL PREPARATIONS                               ,JAPAN,TONS,5437.0,3.52
CEREAL PREPARATIONS                               ,SOUTH KOREA,TONS,12622.0,8.53
CEREAL PREPARATIONS                               ,RUSSIA,TONS,433.0,0.45
CEREAL PREPARATIONS                               ,UK,TONS,15402.0,35.93
CEREAL PREPARATIONS                               ,USA,TONS,54869.0,125.41
COCOA PRODUCTS                                    ,BRAZIL,TONS,1049.189,10.3
COCOA PRODUCTS                                    ,CANADA,TONS,25.392,0.19
COCOA PRODUCTS                                    ,CHINA,TONS,64.18,0.39
COCOA PRODUCTS                                    ,FRANCE,TONS,3.613,0.03
COCOA PRODUCTS                                    ,GERMANY,TONS,5.73,0.07
COCOA PRODUCTS                                    ,ITALY,TONS,7.344,0.06
COCOA PRODUCTS                                    ,JAPAN,TONS,9.877,0.05
COCOA PRODUCTS                                    ,SOUTH KOREA,TONS,0.0,0.0
COCOA PRODUCTS                                    ,RUSSIA,TONS,1.0,0.02
COCOA PRODUCTS                                    ,UK,TONS,415.11,1.34
COCOA PRODUCTS                                    ,USA,TONS,8636.009,32.07
MILLED PRODUCTS                                   ,BRAZIL,TONS,1.25,0.01
MILLED PRODUCTS                                   ,CANADA,TONS,11055.757,7.94
MILLED PRODUCTS                                   ,CHINA,TONS,2.2,0.01
MILLED PRODUCTS                                   ,FRANCE,TONS,408.786,0.33
MILLED PRODUCTS                                   ,GERMANY,TONS,2050.806,1.57
MILLED PRODUCTS                                   ,ITALY,TONS,1080.731,0.77
MILLED PRODUCTS                                   ,JAPAN,TONS,233.252,0.18
MILLED PRODUCTS                                   ,SOUTH KOREA,TONS,13138.41,5.81
MILLED PRODUCTS                                   ,RUSSIA,TONS,0.407,0.0
MILLED PRODUCTS                                   ,UK,TONS,10486.276,7.29
MILLED PRODUCTS                                   ,USA,TONS,33828.017,32.72
MARINE PRODUCTS                                   ,BRAZIL,TONS,22.549,0.12
MARINE PRODUCTS                                   ,CANADA,TONS,22114.37,187.11
MARINE PRODUCTS                                   ,CHINA,TONS,405643.704,1445.56
MARINE PRODUCTS                                   ,FRANCE,TONS,15593.062,110.08
MARINE PRODUCTS                                   ,GERMANY,TONS,8740.495,65.17
MARINE PRODUCTS                                   ,ITALY,TONS,31207.715,179.32
MARINE PRODUCTS                                   ,JAPAN,TONS,112622.567,486.66
MARINE PRODUCTS                                   ,SOUTH KOREA,TONS,14775.149,55.09
MARINE PRODUCTS                                   ,RUSSIA,TONS,18973.589,147.7
MARINE PRODUCTS                                   ,UK,TONS,19246.993,144.99
MARINE PRODUCTS                                   ,USA,TONS,303065.435,2582.65
ANIMAL CASINGS                                    ,GERMANY,TONS,1.461,0.01
ANIMAL CASINGS                                    ,ITALY,TONS,49.077,0.4
BUFFALO MEAT                                      ,SOUTH KOREA,TONS,479.0,1.26
BUFFALO MEAT                                      ,RUSSIA,TONS,7044.0,26.8
BUFFALO MEAT                                      ,USA,TONS,250.0,0.26
DAIRY PRODUCTS                                    ,CANADA,TONS,842.587,4.41
DAIRY PRODUCTS                                    ,CHINA,TONS,45.0,0.38
DAIRY PRODUCTS                                    ,FRANCE,TONS,6.074,0.05
DAIRY PRODUCTS                                    ,GERMANY,TONS,725.683,6.21
DAIRY PRODUCTS                                    ,ITALY,TONS,0.221,0.0
DAIRY PRODUCTS                                    ,JAPAN,TONS,232.257,1.12
DAIRY PRODUCTS                                    ,SOUTH KOREA,TONS,158.159,1.79
DAIRY PRODUCTS                                    ,RUSSIA,TONS,0.032,0.0
DAIRY PRODUCTS                                    ,UK,TONS,59.461,0.46
DAIRY PRODUCTS                                    ,USA,TONS,71250.874,240.6
OTHER MEAT                                        ,USA,TONS,0.0,0.0
PROCESSED MEAT                                    ,CANADA,TONS,1.0,0.0
PROCESSED MEAT                                    ,GERMANY,TONS,0.0,0.0
PROCESSED MEAT                                    ,USA,TONS,0.0,0.0
IRON ORE                                          ,BRAZIL,TONS,118617.0,21.22
IRON ORE                                          ,CANADA,TONS,0.0,0.0
IRON ORE                                          ,CHINA,TONS,18285429.0,1396.83
IRON ORE                                          ,FRANCE,TONS,0.0,0.0
IRON ORE                                          ,GERMANY,TONS,159460.0,35.39
IRON ORE                                          ,ITALY,TONS,131125.0,23.12
IRON ORE                                          ,JAPAN,TONS,0.0,0.0
IRON ORE                                          ,SOUTH KOREA,TONS,69300.0,13.17
IRON ORE                                          ,UK,TONS,125139.0,19.39
IRON ORE                                          ,USA,TONS,3.0,0.0
BULK MINERALS AND ORES                            ,BRAZIL,TONS,28.101,0.01
BULK MINERALS AND ORES                            ,CANADA,TONS,817.064,0.53
BULK MINERALS AND ORES                            ,CHINA,TONS,6569304.989,195.6
BULK MINERALS AND ORES                            ,FRANCE,TONS,439.431,0.12
BULK MINERALS AND ORES                            ,GERMANY,TONS,300.632,0.42
BULK MINERALS AND ORES                            ,ITALY,TONS,226.777,0.05
BULK MINERALS AND ORES                            ,JAPAN,TONS,1290575.903,23.94
BULK MINERALS AND ORES                            ,SOUTH KOREA,TONS,1955788.447,41.87
BULK MINERALS AND ORES                            ,RUSSIA,TONS,113.704,0.13
BULK MINERALS AND ORES                            ,UK,TONS,6140.803,1.7
BULK MINERALS AND ORES                            ,USA,TONS,3032.545,2.37
"COAL,COKE AND BRIQUITTES ETC                      ",BRAZIL,TONS,93000.0,58.68
"COAL,COKE AND BRIQUITTES ETC                      ",CANADA,TONS,0.0,0.0
"COAL,COKE AND BRIQUITTES ETC                      ",CHINA,TONS,0.0,0.0
"COAL,COKE AND BRIQUITTES ETC                      ",FRANCE,TONS,0.0,0.0
"COAL,COKE AND BRIQUITTES ETC                      ",GERMANY,TONS,1000.0,1.1
"COAL,COKE AND BRIQUITTES ETC                      ",ITALY,TONS,0.0,0.0
"COAL,COKE AND BRIQUITTES ETC                      ",JAPAN,TONS,49500.0,35.45
"COAL,COKE AND BRIQUITTES ETC                      ",SOUTH KOREA,TONS,0.0,0.0
"COAL,COKE AND BRIQUITTES ETC                      ",RUSSIA,TONS,0.0,0.0
"COAL,COKE AND BRIQUITTES ETC                      ",UK,TONS,0.0,0.0
"COAL,COKE AND BRIQUITTES ETC                      ",USA,TONS,45.0,0.03
"GRANIT, NATRL STONE AND PRODCT                    ",BRAZIL,TONS,1792.352,0.87
"GRANIT, NATRL STONE AND PRODCT                    ",CANADA,TONS,64853.548,37.25
"GRANIT, NATRL STONE AND PRODCT                    ",CHINA,TONS,3489603.806,388.02
"GRANIT, NATRL STONE AND PRODCT                    ",FRANCE,TONS,127535.362,44.26
"GRANIT, NATRL STONE AND PRODCT                    ",GERMANY,TONS,82644.09,56.61
"GRANIT, NATRL STONE AND PRODCT                    ",ITALY,TONS,153613.729,44.44
"GRANIT, NATRL STONE AND PRODCT                    ",JAPAN,TONS,13374.253,6.71
"GRANIT, NATRL STONE AND PRODCT                    ",SOUTH KOREA,TONS,19189.285,8.26
"GRANIT, NATRL STONE AND PRODCT                    ",RUSSIA,TONS,29474.549,14.7
"GRANIT, NATRL STONE AND PRODCT                    ",UK,TONS,382184.765,108.72
"GRANIT, NATRL STONE AND PRODCT                    ",USA,TONS,709296.405,382.84
MICA                                              ,BRAZIL,TONS,90.605,0.08
MICA                                              ,CHINA,TONS,68973.651,33.47
MICA                                              ,FRANCE,TONS,1377.77,0.98
MICA                                              ,GERMANY,TONS,2050.987,0.79
MICA                                              ,ITALY,TONS,48.25,0.17
MICA                                              ,JAPAN,TONS,9579.904,5.88
MICA                                              ,SOUTH KOREA,TONS,769.507,0.48
MICA                                              ,RUSSIA,TONS,1087.55,1.23
MICA                                              ,UK,TONS,6.392,0.02
MICA                                              ,USA,TONS,2214.566,2.01
OTHER CRUDE MINERALS                              ,BRAZIL,TONS,315.408,0.53
OTHER CRUDE MINERALS                              ,CANADA,TONS,572.989,0.13
OTHER CRUDE MINERALS                              ,CHINA,TONS,11850.784,2.09
OTHER CRUDE MINERALS                              ,FRANCE,TONS,155.299,0.17
OTHER CRUDE MINERALS                              ,GERMANY,TONS,657.249,0.21
OTHER CRUDE MINERALS                              ,ITALY,TONS,3017.285,1.04
OTHER CRUDE MINERALS                              ,JAPAN,TONS,1975.473,0.62
OTHER CRUDE MINERALS                              ,SOUTH KOREA,TONS,2399.762,0.45
OTHER CRUDE MINERALS                              ,RUSSIA,TONS,724.608,1.71
OTHER CRUDE MINERALS                              ,UK,TONS,1387.332,0.36
OTHER CRUDE MINERALS                              ,USA,TONS,6850.472,1.86
PROCESSED MINERALS                                ,BRAZIL,TONS,1323.18,0.34
PROCESSED MINERALS                                ,CANADA,TONS,35496.04,6.02
PROCESSED MINERALS                                ,CHINA,TONS,424597.911,73.84
PROCESSED MINERALS                                ,FRANCE,TONS,3352.247,1.5
PROCESSED MINERALS                                ,GERMANY,TONS,2992.032,1.62
PROCESSED MINERALS                                ,ITALY,TONS,475612.26,41.52
PROCESSED MINERALS                                ,JAPAN,TONS,62702.3,19.95
PROCESSED MINERALS                                ,SOUTH KOREA,TONS,197014.549,28.12
PROCESSED MINERALS                                ,RUSSIA,TONS,291594.208,102.52
PROCESSED MINERALS                                ,UK,TONS,248317.619,90.81
PROCESSED MINERALS                                ,USA,TONS,1578794.964,140.22
"SULPHER, UNROASTED IRON PYRITE                    ",BRAZIL,TONS,146.0,0.18
"SULPHER, UNROASTED IRON PYRITE                    ",CANADA,TONS,0.0,0.0
"SULPHER, UNROASTED IRON PYRITE                    ",CHINA,TONS,1224865.0,333.44
"SULPHER, UNROASTED IRON PYRITE                    ",FRANCE,TONS,0.0,0.0
"SULPHER, UNROASTED IRON PYRITE                    ",GERMANY,TONS,0.0,0.0
"SULPHER, UNROASTED IRON PYRITE                    ",ITALY,TONS,15.0,0.02
"SULPHER, UNROASTED IRON PYRITE                    ",JAPAN,TONS,0.0,0.0
"SULPHER, UNROASTED IRON PYRITE                    ",SOUTH KOREA,TONS,40.0,0.02
"SULPHER, UNROASTED IRON PYRITE                    ",RUSSIA,TONS,0.0,0.0
"SULPHER, UNROASTED IRON PYRITE                    ",UK,TONS,101.0,0.08
"SULPHER, UNROASTED IRON PYRITE                    ",USA,TONS,19.0,0.01
FINISHED LEATHER                                  ,BRAZIL,TONS,15.897,0.56
FINISHED LEATHER                                  ,CANADA,TONS,148.872,1.59
FINISHED LEATHER                                  ,CHINA,TONS,5982.416,42.58
FINISHED LEATHER                                  ,FRANCE,TONS,339.842,6.33
FINISHED LEATHER                                  ,GERMANY,TONS,662.295,10.84
FINISHED LEATHER                                  ,ITALY,TONS,7724.215,77.22
FINISHED LEATHER                                  ,JAPAN,TONS,123.537,2.91
FINISHED LEATHER                                  ,SOUTH KOREA,TONS,994.084,17.17
FINISHED LEATHER                                  ,RUSSIA,TONS,2417.665,12.35
FINISHED LEATHER                                  ,UK,TONS,74.535,0.68
FINISHED LEATHER                                  ,USA,TONS,554.387,7.46
LEATHER FOOTWEAR COMPONENT                        ,BRAZIL,TONS,0.019,0.0
LEATHER FOOTWEAR COMPONENT                        ,CANADA,TONS,8.324,0.28
LEATHER FOOTWEAR COMPONENT                        ,CHINA,TONS,80.2,1.27
LEATHER FOOTWEAR COMPONENT                        ,FRANCE,TONS,263.567,11.33
LEATHER FOOTWEAR COMPONENT                        ,GERMANY,TONS,1486.109,67.87
LEATHER FOOTWEAR COMPONENT                        ,ITALY,TONS,646.824,9.3
LEATHER FOOTWEAR COMPONENT                        ,JAPAN,TONS,206.624,3.94
LEATHER FOOTWEAR COMPONENT                        ,SOUTH KOREA,TONS,0.545,0.03
LEATHER FOOTWEAR COMPONENT                        ,RUSSIA,TONS,1480.936,18.74
LEATHER FOOTWEAR COMPONENT                        ,UK,TONS,292.189,15.24
LEATHER FOOTWEAR COMPONENT                        ,USA,TONS,95.847,3.22
LEATHER GARMENTS                                  ,BRAZIL,TONS,7.99,0.87
LEATHER GARMENTS                                  ,CANADA,TONS,105.686,7.16
LEATHER GARMENTS                                  ,CHINA,TONS,7.811,0.5
LEATHER GARMENTS                                  ,FRANCE,TONS,406.805,30.18
LEATHER GARMENTS                                  ,GERMANY,TONS,845.294,48.34
LEATHER GARMENTS                                  ,ITALY,TONS,506.494,38.87
LEATHER GARMENTS                                  ,JAPAN,TONS,16.502,1.81
LEATHER GARMENTS                                  ,SOUTH KOREA,TONS,19.759,1.48
LEATHER GARMENTS                                  ,RUSSIA,TONS,184.943,9.01
LEATHER GARMENTS                                  ,UK,TONS,385.019,25.76
LEATHER GARMENTS                                  ,USA,TONS,847.408,74.09
GOLD                                              ,CANADA,TONS,0.0,0.0
GOLD                                              ,CHINA,TONS,0.0,0.02
GOLD                                              ,ITALY,TONS,0.0,0.0
GOLD                                              ,USA,TONS,0.001,0.08
GOLD AND OTH PRECS METL JWLERY                    ,BRAZIL,TONS,2213.456,0.61
GOLD AND OTH PRECS METL JWLERY                    ,CANADA,TONS,31118.146,138.79
GOLD AND OTH PRECS METL JWLERY                    ,CHINA,TONS,1175.743,1.01
GOLD AND OTH PRECS METL JWLERY                    ,FRANCE,TONS,16573.976,183.54
GOLD AND OTH PRECS METL JWLERY                    ,GERMANY,TONS,23347.905,62.51
GOLD AND OTH PRECS METL JWLERY                    ,ITALY,TONS,14985.38,84.64
GOLD AND OTH PRECS METL JWLERY                    ,JAPAN,TONS,5922.377,24.6
GOLD AND OTH PRECS METL JWLERY                    ,SOUTH KOREA,TONS,290.908,1.13
GOLD AND OTH PRECS METL JWLERY                    ,RUSSIA,TONS,1912.764,8.34
GOLD AND OTH PRECS METL JWLERY                    ,UK,TONS,78708.737,379.52
GOLD AND OTH PRECS METL JWLERY                    ,USA,TONS,655735.056,3323.51
OTHER PRECIOUS AND BASE METALS                    ,CANADA,TONS,34.954,0.0
OTHER PRECIOUS AND BASE METALS                    ,CHINA,TONS,7.54,0.0
OTHER PRECIOUS AND BASE METALS                    ,FRANCE,TONS,95235.98,5.38
OTHER PRECIOUS AND BASE METALS                    ,GERMANY,TONS,37589.26,1.86
OTHER PRECIOUS AND BASE METALS                    ,ITALY,TONS,104.847,5.14
OTHER PRECIOUS AND BASE METALS                    ,JAPAN,TONS,1507053.117,45.94
OTHER PRECIOUS AND BASE METALS                    ,SOUTH KOREA,TONS,663927.9,53.7
OTHER PRECIOUS AND BASE METALS                    ,RUSSIA,TONS,0.0,0.0
OTHER PRECIOUS AND BASE METALS                    ,UK,TONS,6861.194,3.99
OTHER PRECIOUS AND BASE METALS                    ,USA,TONS,92578.549,6.75
SILVER                                            ,BRAZIL,TONS,0.03,0.01
SILVER                                            ,CANADA,TONS,2.995,0.88
SILVER                                            ,CHINA,TONS,0.0,0.0
SILVER                                            ,FRANCE,TONS,0.584,0.12
SILVER                                            ,GERMANY,TONS,8.602,2.0
SILVER                                            ,ITALY,TONS,2.482,0.72
SILVER                                            ,SOUTH KOREA,TONS,0.0,0.0
SILVER                                            ,UK,TONS,80.733,55.37
SILVER                                            ,USA,TONS,20.595,5.78
AYUSH AND HERBAL PRODUCTS                         ,BRAZIL,TONS,1056.918,3.92
AYUSH AND HERBAL PRODUCTS                         ,CANADA,TONS,1193.39,8.18
AYUSH AND HERBAL PRODUCTS                         ,CHINA,TONS,15026.297,26.91
AYUSH AND HERBAL PRODUCTS                         ,FRANCE,TONS,3118.055,19.6
